Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,130.000000,133.740005,129.600006,132.919998,129.483704,8788000
2019-01-03,131.210007,131.279999,127.879997,128.130005,124.817528,9428300
2019-01-04,130.440002,134.589996,130.130005,133.649994,130.194839,11065800
2019-01-07,134.449997,137.169998,134.039993,136.059998,132.542526,12928000
2019-01-08,137.970001,138.190002,135.960007,136.800003,133.263382,9243000
2019-01-09,138.300003,139.479996,137.619995,138.410004,134.831757,9987600
2019-01-10,136.809998,138.820007,136.360001,138.669998,135.085037,12514900
2019-01-11,137.750000,138.600006,137.410004,138.059998,134.490784,5860100
2019-01-14,136.990005,138.130005,136.649994,137.100006,133.555618,8666700
2019-01-15,136.960007,137.720001,135.250000,137.339996,133.789413,7594900
2019-01-16,138.399994,138.869995,137.070007,137.339996,133.789413,7258000
2019-01-17,136.970001,137.910004,136.589996,137.279999,133.730972,5864900
2019-01-18,138.309998,138.600006,136.639999,138.500000,134.919418,10263500
2019-01-22,137.899994,139.520004,136.979996,138.050003,134.481079,8102300
2019-01-23,138.770004,138.979996,136.149994,137.009995,133.467926,5465800
2019-01-24,137.110001,138.320007,136.520004,137.699997,134.140106,4924800
2019-01-25,139.000000,139.899994,137.699997,138.669998,135.085037,9756300
2019-01-28,137.509995,137.509995,134.809998,135.990005,132.474304,9857200
2019-01-29,136.589996,136.690002,134.110001,135.000000,131.509918,7457700
2019-01-30,136.100006,137.899994,135.509995,137.600006,134.042709,8078100
2019-01-31,134.389999,135.729996,133.300003,135.009995,131.519669,20095700
2019-02-01,135.389999,140.350006,135.259995,140.149994,136.526764,13248300
2019-02-04,139.789993,141.520004,139.179993,141.500000,137.841873,11882700
2019-02-05,142.000000,142.949997,141.830002,142.529999,138.845291,8455700
2019-02-06,141.960007,142.419998,141.050003,141.490005,137.832123,6146900
2019-02-07,139.919998,141.059998,139.210007,140.169998,136.546265,10675300
2019-02-08,138.690002,140.399994,138.520004,140.380005,136.750839,5950700
2019-02-11,141.259995,142.289993,140.449997,140.800003,137.160019,7600100
2019-02-12,141.789993,142.800003,141.250000,141.990005,138.319229,6090000
2019-02-13,142.889999,144.699997,142.869995,143.490005,139.780441,6885600
2019-02-14,142.979996,143.479996,142.399994,143.160004,139.702377,6314000
2019-02-15,144.550003,144.910004,143.820007,144.910004,141.410110,6536000
2019-02-19,144.419998,144.880005,144.020004,144.440002,140.951447,8406700
2019-02-20,144.350006,144.839996,143.520004,144.729996,141.234467,5283100
2019-02-21,144.350006,145.029999,143.179993,144.000000,140.522095,8573400
2019-02-22,144.419998,146.279999,144.419998,145.869995,142.346939,9680800
2019-02-25,146.910004,147.199997,145.809998,146.059998,142.532349,9731200
2019-02-26,145.199997,147.399994,145.020004,147.039993,143.488663,7332500
2019-02-27,146.500000,147.490005,145.919998,147.220001,143.664322,9731200
2019-02-28,147.259995,148.820007,147.229996,148.119995,144.542557,6250200
2019-03-01,149.460007,149.929993,148.380005,149.470001,145.859955,7016800
2019-03-04,150.070007,150.190002,146.949997,147.960007,144.386429,6979700
2019-03-05,148.000000,149.289993,147.830002,147.949997,144.376678,9678600
2019-03-06,148.000000,148.520004,147.419998,147.809998,144.240036,8186400
2019-03-07,147.259995,147.809998,146.039993,146.830002,143.283737,8761700
2019-03-08,145.440002,147.479996,144.500000,147.350006,143.791183,5168100
2019-03-11,148.110001,150.970001,148.020004,150.669998,147.030991,9361500
2019-03-12,151.000000,153.139999,150.869995,151.729996,148.065369,9465100
2019-03-13,152.300003,154.039993,152.039993,152.470001,148.787521,8308900
2019-03-14,152.559998,154.690002,152.300003,154.199997,150.475708,9364900
2019-03-15,153.720001,156.820007,153.360001,155.460007,151.705276,20162000
2019-03-18,155.919998,156.410004,154.419998,154.960007,151.217377,9689400
